observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
GR_Kerr_ISCO_extremal,GR,dpm,numerical,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,dpm,discrete,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,d26,symbolic,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,d26,numerical,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,d26,discrete,,1.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,qcalcgeom,symbolic,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,qcalcgeom,numerical,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,qcalcgeom,discrete,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,bsfg,symbolic,42.99416666666667,43.0,0.013566,OK,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,bsfg,numerical,42.99416666666667,43.0,0.013566,OK,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,bsfg,discrete,42.99416666666667,43.0,0.013566,OK,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,dpm,symbolic,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,dpm,numerical,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,dpm,discrete,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,d26,symbolic,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,d26,numerical,,43.0,,GAP,bsfg,PAPER_1149
GR_Mercury_perihelion,GR,d26,discrete,,43.0,,GAP,bsfg,PAPER_1149
GR_NANOGrav_h_c,GR,qcalcgeom,symbolic,2.400666666666667,2.4,0.027778,OK,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,qcalcgeom,numerical,2.400666666666667,2.4,0.027778,OK,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,qcalcgeom,discrete,2.400666666666667,2.4,0.027778,OK,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,bsfg,symbolic,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,bsfg,numerical,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,bsfg,discrete,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,dpm,symbolic,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,dpm,numerical,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,dpm,discrete,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,d26,symbolic,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,d26,numerical,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_NANOGrav_h_c,GR,d26,discrete,,2.4,,GAP,qcalcgeom,PAPER_1149
GR_Shapiro_delay_coeff,GR,qcalcgeom,symbolic,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,qcalcgeom,numerical,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,qcalcgeom,discrete,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,bsfg,symbolic,4.0,4.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,bsfg,numerical,4.0,4.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,bsfg,discrete,4.0,4.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,dpm,symbolic,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,dpm,numerical,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,dpm,discrete,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,d26,symbolic,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,d26,numerical,,4.0,,GAP,bsfg,PAPER_1149
GR_Shapiro_delay_coeff,GR,d26,discrete,,4.0,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,qcalcgeom,symbolic,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,qcalcgeom,numerical,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,qcalcgeom,discrete,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,bsfg,symbolic,1.7498333333333336,1.751,0.066629,OK,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,bsfg,numerical,1.7498333333333336,1.751,0.066629,OK,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,bsfg,discrete,1.7498333333333336,1.751,0.066629,OK,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,dpm,symbolic,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,dpm,numerical,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,dpm,discrete,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,d26,symbolic,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,d26,numerical,,1.751,,GAP,bsfg,PAPER_1149
GR_light_bending_solar_limb,GR,d26,discrete,,1.751,,GAP,bsfg,PAPER_1149
GR_photon_sphere_r_M,GR,qcalcgeom,symbolic,,3.0,,GAP,bsfg,PAPER_1149
GR_photon_sphere_r_M,GR,qcalcgeom,numerical,,3.0,,GAP,bsfg,PAPER_1149
GR_photon_sphere_r_M,GR,qcalcgeom,discrete,,3.0,,GAP,bsfg,PAPER_1149
GR_photon_sphere_r_M,GR,bsfg,symbolic,3.0,3.0,0.000000,EXACT,bsfg,PAPER_1149
