quantity,kind,detail
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_mass_per_1e29_kg,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_Sun_radius_per_1e8_m,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
KK_sidereal_year_per_100_day,odmap_gap,PAPER_1167
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_alternate,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_BAO_rd_H0_over_c_primary,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_D_over_H,odmap_gap,PAPER_1156
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
